Depth  Name              #Inst  Area (um^2) 
--------------------------------------------
3      bloco/r5/t3_t2    620    8706.7008   
3      bloco/r3/t1_t2    587    8522.2368   
3      bloco/r6/t2_t1    597    8568.3528   
3      bloco/r4/t0_t1    949    13487.3928  
3      bloco/r1/t1_t0    610    8626.7664   
3      bloco/r2/t3_t2    606    8611.3944   
3      bloco/r3/t0_t0    597    8589.8736   
3      bloco/r8/t1_t1    595    8629.8408   
3      bloco/r8/t0_t2    614    9078.7032   
3      bloco/r1/t2_t1    595    8903.4624   
3      bloco/r8/t3_t2    977    13871.6928  
3      bloco/r5/t1_t1    602    8562.204    
3      bloco/r7/t2_t1    962    13613.4432  
3      bloco/r5/t0_t1    618    9103.2984   
3      bloco/r1/t0_t0    945    13435.128   
3      bloco/r4/t3_t0    602    8648.2872   
3      bloco/r2/t1_t0    612    8998.7688   
3      bloco/r9/t3_t2    591    8580.6504   
3      bloco/r6/t1_t1    597    8657.5104   
3      bloco/r8/t2_t1    610    9032.5872   
3      bloco/r6/t0_t1    611    8918.8344   
3      bloco/r2/t0_t0    613    8623.692    
3      bloco/r2/t2_t1    616    8675.9568   
3      bloco/r7/t0_t0    619    9103.2984   
3      bloco/r3/t2_t0    605    8516.088    
3      bloco/r5/t3_t0    603    8589.8736   
3      bloco/r5/t2_t1    596    8623.692    
3      bloco/r3/t1_t0    608    8888.0904   
